Réf. Waytex;Description;CodeBarre;Prix Public H.T;Tarif Rev1;REM;Tarif Rev2;Sorecop;Deee
21902;Adaptateur audio stéréo Jack 6.35mm mâle vers 1 Jack 3.5mm femelle monobloc;3700616808041;1,92 €;0,60 €;10;0,54 €;;0,02 €
21903;Adaptateur audio stéréo Jack 2.5mm mâle vers Jack 3.5mm femelle monobloc;3700616817258;1,20 €;0,60 €;10;0,54 €;;0,02 €
21904;Adaptateur audio  Jack 3.5mm or  2 Jack mâles à 1 jack femelle monobloc;3700616817227;1,40 €;0,70 €;10;0,63 €;;0,02 €
21907;Kit audio/vidéo 5.00m;3700616803473;11,00 €;3,00 €;10;2,70 €;;0,02 €
22215;Cordon vidéo RCA M/M 1.50m;3700616800250;2,99 €;0,90 €;10;0,81 €;;0,02 €
22250;Cordon vidéo RCA M/M 5.00m;3700616800267;3,99 €;1,40 €;10;1,26 €;;0,02 €
22315;Cordon vidéo SVHS MDIN4 M/M 1.50m noir;3700616800274;1,90 €;0,90 €;10;0,81 €;;0,02 €
22330;Cordon vidéo SVHS MDIN4 M/M 3.00m noir;3700616800281;3,50 €;1,50 €;10;1,35 €;;0,02 €
22350;Cordon vidéo SVHS MDIN4 M/M 5.00m noir;3700616800298;4,50 €;2,20 €;10;1,98 €;;0,02 €
23204;Cordon audio/vidéo 3 x RCA M/M Haute Qualité contacts Or 5.00m Blister;5410329282905;16,00 €;8,50 €;;8,50 €;;0,02 €
23206;Cordon péritel M/M Haute Qualité contacts Or 1.50m Blister;5410329282950;19,98 €;7,50 €;;7,50 €;;0,02 €
23207;Cordon péritel M/M Haute Qualité contacts Or 3.00m blister;5410329336912;9,00 €;5,00 €;10;4,50 €;;0,02 €
23215;Cordon audio/vidéo 3 x RCA M/M 1.50m;3700616800304;2,00 €;1,10 €;10;0,99 €;;0,02 €
23230;Cordon audio/vidéo 3 x RCA M/M 3.00m;3700616800311;2,90 €;1,70 €;10;1,53 €;;0,02 €
23250;Cordon audio/vidéo 3 x RCA M/M 5.00m;3700616800328;3,50 €;1,98 €;10;1,78 €;;0,02 €
23320;Cordon vidéo BNC KX6 M/M 75 Ohms vert 2.00m;3700616808058;9,80 €;4,90 €;10;4,41 €;;
24103;Cordon HDMI Premium High Speed  A/A connecteurs Or 3.00m Blister;6934808890362;8,00 €;3,00 €;10;2,70 €;;0,02 €
24105;Cordon HDMI Premium High Speed  A/A connecteurs Or 5.00m Blister;6934808891017;14,00 €;4,50 €;10;4,05 €;;0,02 €
24106;Cordon HDMI 1.4 A mâle / Mini HDMI C mâle connecteurs Or 1.50m;3700616802438;5,30 €;2,50 €;10;2,25 €;;0,02 €
24107;Adaptateur mini HDMI C mâle / HDMI A femelle;3700616802445;4,90 €;2,45 €;10;2,21 €;;0,02 €
24108;Adaptateur micro HDMI D mâle / HDMI A femelle;3700616814486;5,90 €;2,60 €;10;2,34 €;;0,02 €
24130;Cordon HDMI Premium High Speed 1.3 A/A connecteurs Or et câpots Alu 3.00m;6934808890782;9,00 €;4,80 €;20;3,84 €;;0,02 €
24292;Cordon HDMI High Speed with Ethernet 1.4 A/A connecteurs Or 15.00m;3700616806061;45,00 €;18,50 €;10;16,65 €;;0,02 €
24293;Cordon HDMI High Speed with Ethernet 1.4 A/A connecteurs Or 20.00m;3700616808164;59,00 €;29,00 €;10;26,10 €;;0,02 €
24302;Cordon HDMI / DVI M/M connecteurs Or 2.00m ;6934808890584;7,50 €;3,90 €;10;3,51 €;;0,02 €
24303;Cordon HDMI / DVI M/M connecteurs Or 3.00m ;6934808890348;10,50 €;4,90 €;10;4,41 €;;0,02 €
24401;Cordon HDMI High Speed with Ethernet 1.4 A/A connecteurs Or 1.80m ;3700616802377;6,30 €;1,70 €;10;1,53 €;;0,02 €
24402;Cordon HDMI High Speed with Ethernet 1.4 A/A connecteurs Or 3.00m ;3700616802384;8,30 €;2,10 €;10;1,89 €;;0,02 €
24403;Cordon HDMI High Speed with Ethernet 1.4 A/A connecteurs Or 5.00m ;3700616802391;11,20 €;3,50 €;10;3,15 €;;0,02 €
24404;Cordon HDMI High Speed with Ethernet 1.4 A/A connecteurs Or 10.00m ;3700616811522;23,00 €;8,50 €;10;7,65 €;;0,02 €
24410;Cordon HDMI High Speed with Ethernet 1.4 A/A connecteurs Or articulés 1.50m ;3700616802407;7,90 €;3,90 €;10;3,51 €;;0,02 €
24411;Cordon HDMI High Speed with Ethernet 1.4 A/A connecteurs Or 1.80m Blister;3700616802414;8,00 €;2,70 €;10;2,43 €;;0,02 €
24413;Cordon HDMI High Speed with Ethernet 1.4 A/A connecteurs Or articulés 3.00m;3700616807976;10,20 €;5,10 €;10;4,59 €;;0,02 €
24430;Cordon HDMI 2.0 A/A 4K 2K connecteurs Or 1.00m;3700616817388;3,20 €;1,60 €;10;1,44 €;;0,02 €
24432;Cordon HDMI Premium High Speed with Ethernet 2.0 A/A 4K connecteurs Or 2.00m;3700616814660;5,00 €;2,50 €;10;2,25 €;;0,02 €
24433;Cordon HDMI Premium High Speed with Ethernet 2.0 A/A 4K connecteurs Or 3.00m;3700616814677;6,40 €;3,20 €;10;2,88 €;;0,02 €
24434;Cordon HDMI Premium High Speed with Ethernet 2.0 A/A 4K connecteurs Or 5.00m;3700616814684;9,20 €;4,60 €;10;4,14 €;;0,02 €
24435;Cordon HDMI Premium High Speed with Ethernet 2.0 A/A 4K connecteurs Or 10.00m;3700616814691;25,80 €;12,90 €;10;11,61 €;;0,02 €
24436;Cordon HDMI Premium High Speed with Ethernet 2.0 A/A 4K connecteurs Or 15.00m;3700616814714;44,00 €;22,00 €;10;19,80 €;;0,02 €
24437;Cordon HDMI Premium High Speed with Ethernet 2.0 A/A 4K connecteurs Or 20.00m;3700616814707;86,00 €;43,00 €;10;38,70 €;;0,02 €
25102;Cordon écran DVI-D Dual Link 24+1 M/M avec ferrites 1.80m ;6934808890591;8,90 €;3,80 €;10;3,42 €;;0,02 €
25103;Cordon écran DVI-D Dual Link 24+1 M/M avec ferrites 3.00m ;6934808890607;9,90 €;4,80 €;10;4,32 €;;0,02 €
